"","ADDRESSS","name","lat","long","accuracy","formatted_address"
"1384","276 KNICKERBOCKER AVE 11237","TAQUERIA JIMMY EXPRESS",40.7019918,40.7019918,"premise","276 Knickerbocker Ave, Brooklyn, NY 11237, USA"
"1385","276 SMITH ST 11231","",40.682505,40.682505,"street_address","276 Smith St, Brooklyn, NY 11231, USA"
"1386","2761 PLUMB    2 STREET 11235","T.G.I. FRIDAY'S",40.5868367,40.5868367,"street_address","2761 Plumb 2nd St, Brooklyn, NY 11235, USA"
"1387","2765 WEBSTER AVE 10458","EL NUEVO TENAMPA RESTAURANTE",40.8659677,40.8659677,"premise","2765 Webster Ave, Bronx, NY 10458, USA"
"1388","2768 WEBSTER AVE 10458","SIRENA RESTAURANT",40.8657673,40.8657673,"street_address","2768 Webster Ave, Bronx, NY 10458, USA"
"1389","277 BROADWAY 11211","CHECKERS",40.7089134,40.7089134,"premise","277 Broadway, Brooklyn, NY 11211, USA"
"1390","277 BROOME ST 10002","WILLIAMSBURG PIZZA",40.7182551,40.7182551,"street_address","277 Broome St, New York, NY 10002, USA"
"1391","277 CHURCH STREET 10013","B FLAT",40.7185438,40.7185438,"premise","277 Church St, New York, NY 10013, USA"
"1392","277 DRIGGS AVENUE 11222","URO CAFE",40.7224153,40.7224153,"premise","277 Driggs Ave, Brooklyn, NY 11222, USA"
"1393","277 E 206TH ST 10467","MEI PANDA HOUSE / TOP FRESH TORTILLAS",40.875095,40.875095,"street_address","277 E 206th St, Bronx, NY 10467, USA"
"1394","277 EAST   10 STREET 10009","BRINDLE ROOM",40.728287,40.728287,"street_address","277 E 10th St, New York, NY 10009, USA"
"1395","277 EAST KINGSBRIDGE ROAD 10458","HAPPY GARDEN",40.863483,40.863483,"street_address","277 E Kingsbridge Rd, Bronx, NY 10458, USA"
"1396","277 GOLD ST 11201","BROWNSTONE BAR & RESTAURANT",40.696281,40.696281,"premise","277 Gold St, Brooklyn, NY 11201, USA"
"1397","277 GRAND ST 10002","PHO GRAND",40.7176267,40.7176267,"premise","277 Grand St, New York, NY 10002, USA"
"1398","277 MALCOLM X BLVD 11233","",40.682896,40.682896,"street_address","277 Malcolm X Blvd, Brooklyn, NY 11233, USA"
"1399","277 NEPTUNE AVENUE 11235","TAQUERIA EL BUEN GUSTO",40.5813979,40.5813979,"street_address","277 Neptune Ave, Brooklyn, NY 11235, USA"
"1400","277 PARK AVENUE 10172","MAC JUICE",40.7553835,40.7553835,"street_address","277 Park Ave, New York, NY 10172, USA"
"1401","277 SMITH ST 11231","WHITE MAIZE",40.6824584,40.6824584,"street_address","277 Smith St, Brooklyn, NY 11231, USA"
"1402","277 VAN BRUNT AVENUE 11231","KEVIN'S",40.6791499,40.6791499,"premise","277 Van Brunt St, Brooklyn, NY 11231, USA"
"1403","277 WYCKOFF AVE 11237","EL MEKKAH BAR & GRILL",40.7010127,40.7010127,"premise","277 Wyckoff Ave, Brooklyn, NY 11237, USA"
"1404","2771 WEBSTER AVE 10458","MB RESTAURANT",40.866101,40.866101,"street_address","2771 Webster Ave, Bronx, NY 10458, USA"
"1405","2775 CONEY ISLAND AVENUE 11235","CHINAR RESTAURANT",40.5887072,40.5887072,"premise","2775 Coney Island Ave, Brooklyn, NY 11235, USA"
"1406","2776 WEBSTER AVE 10458","RAFAELINA RESTAURANT & BAR CORP",40.8659378,40.8659378,"street_address","2776 Webster Ave, Bronx, NY 10458, USA"
"1407","2777 FLATBUSH AVENUE 11234","NICK'S LOBSTERS",40.6036074,40.6036074,"premise","2777 Flatbush Ave, Brooklyn, NY 11234, USA"
"1408","278 5TH AVE 11215","BONNIES GRILL",40.6742813,40.6742813,"premise","278 5th Ave, Brooklyn, NY 11215, USA"
"1409","278 BLEECKER STREET 10014","JOHN'S PIZZERIA",40.7316187,40.7316187,"street_address","278 Bleecker St, New York, NY 10014, USA"
"1410","278 NEW DORP LANE 10306","PIZZERIA GIOVE",40.5720396,40.5720396,"street_address","278 New Dorp Ln, Staten Island, NY 10306, USA"
"1411","278 SMITH ST 11231","THAISM",40.6824841,40.6824841,"premise","278 Smith St, Brooklyn, NY 11231, USA"
"1412","2780 STILLWELL AVENUE 11224","RIVIERA CATERER",40.579505,40.579505,"street_address","2780 Stillwell Ave, Brooklyn, NY 11224, USA"
"1413","2781 SHELL RD 11223","MATCHPOINTNYC",40.5847963,40.5847963,"premise","2781 Shell Rd, Brooklyn, NY 11223, USA"
"1414","2783 3RD AVE 10455","JS PERRY'S DINER",40.8151315,40.8151315,"premise","2783 Third Ave, Bronx, NY 10455, USA"
"1415","2784 LINDEN BOULEVARD 11208","SHOWCASE LINDEN CINEMAS",40.6690595,40.6690595,"premise","2784 Linden Blvd, Brooklyn, NY 11208, USA"
"1416","2785 3 AVENUE 10455","DELICIA BAKERY",40.8151291,40.8151291,"premise","2785 Third Ave, Bronx, NY 10455, USA"
"1417","2787 ATLANTIC AVE 11207","SAZON CIBAENO",40.6766153,40.6766153,"street_address","2787 Atlantic Ave, Brooklyn, NY 11207, USA"
"1418","2787 BROADWAY 10025","107 WEST RESTAURANT",40.8027645,40.8027645,"premise","2787 Broadway, New York, NY 10025, USA"
"1419","2788 BROADWAY 10025","ABSOLUTE BAGELS",40.802516,40.802516,"street_address","2788 Broadway, New York, NY 10025, USA"
"1420","2788 FULTON STREET 11207","KENNEDY FRIED CHICKEN",40.6778633,40.6778633,"premise","2788 Fulton St, Brooklyn, NY 11207, USA"
"1421","2789 ATLANTIC AVE 11207","SUBWAY",40.6766192,40.6766192,"premise","2789 Atlantic Ave, Brooklyn, NY 11207, USA"
"1422","278B 5TH AVE 11215","CALEXICO",40.6742813,40.6742813,"premise","278 5th Ave, Brooklyn, NY 11215, USA"
"1423","278B WYCKOFF AVE 11237","JUPIOCA",40.6998817,40.6998817,"premise","278 Wyckoff Ave, Brooklyn, NY 11237, USA"
"1424","279 AMSTERDAM AVENUE 10023","GINA LA FORNARINA",40.7793504,40.7793504,"street_address","279 Amsterdam Ave, New York, NY 10023, USA"
"1425","279 BUSHWICK AVENUE 11206","NOTE THAI",40.7065415,40.7065415,"premise","279 Bushwick Ave, Brooklyn, NY 11206, USA"
"1426","279 BUTLER ST 11217","RED LION INN & SUITES",40.6814482,40.6814482,"street_address","279 Butler St, Brooklyn, NY 11217, USA"
"1427","279 CHURCH ST 10013","BAKED",40.7185999,40.7185999,"premise","279 Church St, New York, NY 10013, USA"
"1428","279 CITY ISLAND AVE 10464","THE BLACK WHALE",40.8463446,40.8463446,"premise","279 City Island Ave, Bronx, NY 10464, USA"
"1429","279 E 149TH ST 10451","MCDONALDS",40.817504,40.817504,"street_address","279 E 149th St, Bronx, NY 10451, USA"
"1430","279 FIFTH AVENUE 11215","HENRI ON FIFTH",40.6737884,40.6737884,"premise","279 5th Ave, Brooklyn, NY 11215, USA"
"1431","279 FLATBUSH AVENUE 11217","KOMBIT KREYOL",40.6794123,40.6794123,"street_address","279 Flatbush Ave, Brooklyn, NY 11217, USA"
"1432","279 GRAND STREET 11211","MARACUJA",40.7132427,40.7132427,"premise","279 Grand St, Brooklyn, NY 11211, USA"
"1433","279 NOSTRAND AVE 11216","THE CIVIL SERVICE CAFE",40.6892718,40.6892718,"premise","279 Nostrand Ave, Brooklyn, NY 11216, USA"
"1434","2791 BROADWAY 10025","MEZZOGIORNO",40.8028379,40.8028379,"street_address","2791 Broadway, New York, NY 10025, USA"
"1435","2793 86TH ST 11223","TASTE OF CHINA USA",40.5933027,40.5933027,"street_address","2793 86th St, Brooklyn, NY 11223, USA"
"1436","2793 8TH AVE 10039","SUBWAY",40.8251796,40.8251796,"premise","2793 Frederick Douglass Blvd, New York, NY 10039, USA"
"1437","2794 BROADWAY 10025","TARA HILL IRISH TAVERN",40.8027098,40.8027098,"street_address","2794 Broadway, New York, NY 10025, USA"
"1438","2795 8 AVENUE 10039","LA NOMADE RESTAURANT",40.8252386,40.8252386,"premise","2795 Frederick Douglass Blvd, New York, NY 10039, USA"
"1439","2795 RICHMOND AVENUE 10314","MCDONALD'S",40.576467,40.576467,"premise","2795 Richmond Ave, Staten Island, NY 10314, USA"
"1440","2797 86TH ST 11223","LITTLE CAESARS",40.5932898,40.5932898,"street_address","2797 86th St, Brooklyn, NY 11223, USA"
"1441","2797 LINDEN BOULEVARD 11208","MCDONALD'S",40.6701491,40.6701491,"premise","2797 Linden Blvd, Brooklyn, NY 11208, USA"
"1442","2798 8TH AVE 10039","MUNDAR FRIED CHICKEN",40.8250843,40.8250843,"premise","2798 Frederick Douglass Blvd, New York, NY 10039, USA"
"1443","2799 BROADWAY 10025","CASCABEL TAQUERIA",40.8028278,40.8028278,"street_address","2799 Broadway, New York, NY 10025, USA"
"1444","28 7 AVENUE SOUTH 10014","ALMANAC",40.7305035,40.7305035,"premise","28 7th Ave S, New York, NY 10014, USA"
"1445","28 7TH AVE S 10014","CLEAN TABLE",40.7305035,40.7305035,"premise","28 7th Ave S, New York, NY 10014, USA"
"1446","28 8 AVENUE 10014","LA BONBONNIERE",40.7377578,40.7377578,"premise","28 8th Ave, New York, NY 10014, USA"
"1447","28 BOWERY 10013","GREAT N.Y. NOODLETOWN",40.7150352,40.7150352,"premise","28 Bowery, New York, NY 10013, USA"
"1448","28 CANAL ST 10002","28 MING'S CAFFE",40.7143259,40.7143259,"premise","28 Canal St, New York, NY 10002, USA"
"1449","28 CLIFF STREET 10038","RYAN MAGUIRE'S BAR & RESTAURANT",40.7081169,40.7081169,"street_address","28 Cliff St, New York, NY 10038, USA"
"1450","28 CORNELIA STREET 10014","PALMA",40.7311708,40.7311708,"premise","28 Cornelia St, New York, NY 10014, USA"
"1451","28 DOOLEY STREET 11235","DRAFT BARN",40.5843888,40.5843888,"premise","28 Dooley St, Brooklyn, NY 11235, USA"
"1452","28 E 12TH ST 10003","NUM PANG",40.7339209,40.7339209,"premise","28 E 12th St, New York, NY 10003, USA"
"1453","28 E 18TH ST 10003","JUICE GENERATION",40.7375937,40.7375937,"premise","28 E 18th St, New York, NY 10003, USA"
"1454","28 E 63RD ST 10065","MAJORELLE",40.7657132,40.7657132,"premise","28 E 63rd St, New York, NY 10065, USA"
"1455","28 E KINGSBRIDGE RD 10468","O'BRIENS PUB",40.8669512,40.8669512,"premise","28 E Kingsbridge Rd, Bronx, NY 10468, USA"
"1456","28 EAST   12 STREET 10003","DORADO",40.7339209,40.7339209,"premise","28 E 12th St, New York, NY 10003, USA"
"1457","28 EAST   23 STREET 10010","SOPHIE'S CUBAN CUISINE",40.740543,40.740543,"premise","28 E 23rd St, New York, NY 10010, USA"
"1458","28 EAST   63 STREET 10065","THE LOWELL",40.7657132,40.7657132,"premise","28 E 63rd St, New York, NY 10065, USA"
"1459","28 east 1 street 10003","BLUE RIBBON FRIED CHICKEN",40.7245348,40.7245348,"street_address","28 E 1st St, New York, NY 10003, USA"
"1460","28 EAST 167 STREET 10452","JUSTINE RESTAURANT",40.835639,40.835639,"street_address","28 E 167th St, Bronx, NY 10452, USA"
"1461","28 FORSYTH STREET 10002","LAO DI FANG NOODLE HOUSE",40.7151798,40.7151798,"street_address","28 Forsyth St, New York, NY 10002, USA"
"1462","28 GREENWICH AVE 10011","VIRGOLA",40.7351561,40.7351561,"premise","28 Greenwich Ave, New York, NY 10011, USA"
"1463","28 JANE STREET 10014","GROUNDED",40.737976,40.737976,"street_address","28 Jane St, New York, NY 10014, USA"
"1464","28 LITTLE WEST   12 STREET 10014","STK",40.7398485,40.7398485,"premise","28 Little W 12th St, New York, NY 10014, USA"
"1465","28 MOTT STREET 10013","PEKING DUCK HOUSE",40.714614,40.714614,"street_address","28 Mott St, New York, NY 10013, USA"
"1466","28 SAINT MARKS PL 10003","KUNG FU TEA",40.7288053,40.7288053,"premise","28 St Marks Pl, New York, NY 10003, USA"
"1467","28 W 20TH ST 10011","THE RINDSIDE CAFE",40.7403547,40.7403547,"street_address","28 W 20th St, New York, NY 10011, USA"
"1468","28 W 32ND ST 10001","HANAMICHI",40.7475813,40.7475813,"premise","28 W 32nd St, New York, NY 10001, USA"
"1469","28 W 33 STREET 10001","STARRY NIGHT/33RD BBQ",40.7483116,40.7483116,"street_address","28 West 33rd Street, New York, NY 10001, USA"
"1470","28 W 40TH ST 10018","CHIPOTLE MEXICAN GRILL",40.7527127,40.7527127,"street_address","28 W 40th St, New York, NY 10018, USA"
"1471","28 W 53RD ST 10019","GRAND SALON AND BAR",40.7608702,40.7608702,"street_address","28 W 53rd St, New York, NY 10019, USA"
"1472","28 W 8TH STREET 10011","8TH STREET WINECELLAR",40.7327221,40.7327221,"street_address","28 W 8th St, New York, NY 10011, USA"
"1473","28 WATER ST 10004","SUBWAY",40.7032619,40.7032619,"premise","28 Water St, New York, NY 10004, USA"
"1474","28 WATTS STREET 10013","MOONCAKE FOODS",40.7236143,40.7236143,"street_address","28 Watts St, New York, NY 10013, USA"
"1475","28 WEST   32 STREET 10001","GAGOPA MUSIC STUDIO",40.7475813,40.7475813,"premise","28 W 32nd St, New York, NY 10001, USA"
"1476","28 WEST   56 STREET 10019","SUSHIYA JAPANESE RESTAURANT",40.7627657,40.7627657,"premise","28 W 56th St, New York, NY 10019, USA"
"1477","28 WEST STREET 10004","INATESSO PIZZA BAR CASANO",40.7061155,40.7061155,"street_address","28 West St, New York, NY 10004, USA"
"1478","28-51 42 STREET 11103","RESTORAN SEHER OLD BRIDGE 3",40.7633768,40.7633768,"premise","28-51 42nd St, Astoria, NY 11103, USA"
"1479","280 3RD AVE 10010","THINK COFFEE",40.7380298,40.7380298,"street_address","280 3rd Ave, New York, NY 10010, USA"
"1480","280 5 AVENUE 11215","BLUE RIBBON BRASSERIE",40.6742527,40.6742527,"street_address","280 5th Ave, Brooklyn, NY 11215, USA"
"1481","280 86 STREET 11209","LEO CASA CALAMARI",40.6234093,40.6234093,"street_address","280 86th St, Brooklyn, NY 11209, USA"
"1482","280 BEDFORD AVE 11249","SETAGAYA",40.7148038,40.7148038,"premise","280 Bedford Ave, Brooklyn, NY 11249, USA"
"1483","280 BLEECKER STREET 10014","FISH",40.7317095,40.7317095,"premise","280 Bleecker St, New York, NY 10014, USA"
"1484","280 BROADWAY 10007","THE COFFEE BEAN & TEA LEAF",40.7142981,40.7142981,"street_address","280 Broadway, New York, NY 10007, USA"
"1485","280 E 10TH ST 10009","CAFE SILAN",40.7279838,40.7279838,"premise","280 E 10th St, New York, NY 10009, USA"
"1486","280 EAST   10 STREET 10009","THIRSTEA CAFE",40.7279838,40.7279838,"premise","280 E 10th St, New York, NY 10009, USA"
"1487","280 FATHER CAPODANNO BOULEVARD 10305","BOARDWALK GRILL",40.590335,40.590335,"street_address","280 Father Capodanno Blvd, Staten Island, NY 10305, USA"
"1488","280 GRAND ST 10002","LUCKY STARS BAKERY",40.7179757,40.7179757,"premise","280 Grand St, New York, NY 10002, USA"
"1489","280 KNICKERBOCKER AVENUE 11237","ALI'S RESTAURANT",40.7019135,40.7019135,"premise","280 Knickerbocker Ave, Brooklyn, NY 11237, USA"
"1490","280 MADISON AVE 10016","MCDONALD'S",40.7514308,40.7514308,"street_address","280 Madison Ave, New York, NY 10016, USA"
"1491","280 MARSH AVE 10314","CARVEL ICE CREAM",40.5780896,40.5780896,"street_address","280 Marsh Ave, Staten Island, NY 10314, USA"
"1492","280 MARSH AVENUE 10314","T.G.I. FRIDAY'S",40.5780896,40.5780896,"street_address","280 Marsh Ave, Staten Island, NY 10314, USA"
"1493","280 PARK AVE 10017","STARBUCKS",40.7564773,40.7564773,"premise","280 Park Ave, New York, NY 10017, USA"
"1494","280 SAND LN 10305","DRAGON HOUSE",40.5924516,40.5924516,"premise","280 Sand Ln, Staten Island, NY 10305, USA"
"1495","280 SMITH STREET 11231","BAR GREAT HARRY",40.6824397,40.6824397,"premise","280 Smith St, Brooklyn, NY 11231, USA"
"1496","280 ST NICHOLAS AVENUE 10027","CHUCK E. CHEESE'S",40.8101402,40.8101402,"street_address","280 St Nicholas Ave, New York, NY 10027, USA"
"1497","280 WATCHOGUE ROAD 10314","JIMMY MAX RESTAURANT",40.6160173,40.6160173,"premise","280 Watchogue Rd, Staten Island, NY 10314, USA"
"1498","2800 ATLANTIC AVENUE 11207","MCDONALD'S",40.6762287,40.6762287,"premise","2800 Atlantic Ave, Brooklyn, NY 11207, USA"
"1499","2800 BROADWAY 10025","THE MANCHESTER DINER",40.8029095,40.8029095,"street_address","2800 Broadway, New York, NY 10025, USA"
"1500","2800 HYLAN BOULEVARD 10306","BURGER KING",40.5639234,40.5639234,"premise","2800 Hylan Blvd, Staten Island, NY 10306, USA"
"1501","2800 VICTORY BOULEVARD 10314","CAMPUS CENTER CAFETERIA",40.5996743,40.5996743,"premise","Center for the Arts, 2800 Victory Blvd, Staten Island, NY 10314, USA"
"1502","2801 24TH AVE 11102","PIZZA LOVERS",40.7734981,40.7734981,"street_address","28-01 24th Ave, Long Island City, NY 11102, USA"
"1503","2801 CONEY ISLAND AVENUE 11235","CAFE GALLERY",40.588235,40.588235,"street_address","2801 Coney Island Ave, Brooklyn, NY 11235, USA"
"1504","2801 KNAPP STREET 11235","SUBWAY",40.5861593,40.5861593,"premise","2801 Knapp St, Brooklyn, NY 11235, USA"
"1505","2801 MERMAID AVENUE 11224","CROWN FRIED CHICKEN",40.57579,40.57579,"street_address","2801 Mermaid Ave, Brooklyn, NY 11224, USA"
"1506","2801 STEINWAY STREET 11103","GYRO UNO",40.7653024,40.7653024,"street_address","28-01 Steinway St, Long Island City, NY 11103, USA"
"1507","2802 23 AVENUE 11105","Andrew & Frank's DELI",40.7752799,40.7752799,"premise","28-02 23rd Ave, Long Island City, NY 11105, USA"
"1508","2802 42ND ROAD 11101","CRANBERRY",40.748907,40.748907,"street_address","28-2 42nd Rd, Long Island City, NY 11101, USA"
"1509","2803 AVENUE U 11229","ZEE BAGELS",40.6004295,40.6004295,"street_address","2803 Avenue U, Brooklyn, NY 11229, USA"
"1510","2804 STEINWAY STREET 11103","JOUR ET NUIT CAFE AND RESTAURANT",40.765416,40.765416,"street_address","28-04 Steinway St, Long Island City, NY 11103, USA"
"1511","2805 AVENUE U 11229","OSAKA JAPANESE RESTAURANT",40.6004494,40.6004494,"street_address","2805 Avenue U, Brooklyn, NY 11229, USA"
"1512","2805 CROSS ISLAND PARKWAY 11360","BAYSIDE MARINA SNACK BAR",40.7846021,40.7846021,"route","Cross Island Pkwy, Queens, NY 11360, USA"
"1513","2807 CROPSEY AVE 11214","EMPIRE TACO CHINA",40.5864104,40.5864104,"street_address","2807 Cropsey Ave, Brooklyn, NY 11214, USA"
"1514","2807 MERMAID AVE 11224","PANDA RESTAURANT",40.575766,40.575766,"street_address","2807 Mermaid Ave, Brooklyn, NY 11224, USA"
"1515","2807 NOSTRAND AVENUE 11229","PIZZA NOSH",40.6156958,40.6156958,"street_address","2807 Nostrand Ave, Brooklyn, NY 11229, USA"
"1516","2808 21 STREET 11102","EL ANCLA DE ASTORIA RESTAURANT & BAR",40.7710409,40.7710409,"street_address","28-08 21st St, Long Island City, NY 11102, USA"
"1517","2808 34 STREET 11103","OFF THE HOOK RAW BAR & GRILL",40.7671485,40.7671485,"street_address","28-08 34th St, Long Island City, NY 11103, USA"
"1518","2808 STEINWAY STREET 11103","FAYROOZ",40.7653124,40.7653124,"premise","28-08 Steinway St, Astoria, NY 11103, USA"
"1519","2809 ASTORIA BLVD 11102","ISTRIA SPORT CLUB",40.7708883,40.7708883,"street_address","28-09 Astoria Blvd, Long Island City, NY 11102, USA"
"1520","2809 NOSTRAND AVENUE 11229","NEW JU FENG CHINESE RESTAURANT",40.6156813,40.6156813,"street_address","2809 Nostrand Ave, Brooklyn, NY 11229, USA"
"1521","2809 OCEAN AVENUE 11229","GINZA SUSHI",40.5929643,40.5929643,"premise","2809 Ocean Ave, Brooklyn, NY 11229, USA"
"1522","281 3 AVENUE 10010","ROLF'S GERMAN RESTAURANT",40.7379457,40.7379457,"premise","281 3rd Ave, New York, NY 10010, USA"
"1523","281 BLEECKER STREET 10014","BLIND TIGER",40.7318882,40.7318882,"premise","281 Bleecker St, New York, NY 10014, USA"
"1524","281 BROADWAY 10007","CHIPOTLE MEXICAN GRILL",40.7145348,40.7145348,"street_address","281 Broadway, New York, NY 10007, USA"
"1525","281 BRUCKNER BOULEVARD 10454","DUNKIN' DONUTS",40.8054638,40.8054638,"street_address","281 Bruckner Blvd, Bronx, NY 10454, USA"
"1526","281 E 161 ST 10451","NEW GOOD TASTE CHINESE RESTAURANT",40.8256559,40.8256559,"premise","281 E 161st St, Bronx, NY 10451, USA"
"1527","281 East 149 street 10451","LA PERLA MEXICANA",40.8174674,40.8174674,"street_address","281 E 149th St, Bronx, NY 10451, USA"
"1528","281 KINGS HIGHWAY 11223","MONA'S BAKERY & CAFE",40.6053167,40.6053167,"street_address","281 Kings Hwy, Brooklyn, NY 11223, USA"
"1529","281 LAFAYETTE STREET 10012","PRAVDA",40.723919,40.723919,"street_address","281 Lafayette St, New York, NY 10012, USA"
"1530","281 SAINT NICHOLAS AVE 10027","SUBWAY",40.8103619,40.8103619,"street_address","281 St Nicholas Ave, New York, NY 10027, USA"
"1531","281 VAN BRUNT ST 11231","THE BLACK FLAMINGO",40.67899,40.67899,"street_address","281 Van Brunt St, Brooklyn, NY 11231, USA"
"1532","281 WEST   12 STREET 10014","CUBBYHOLE",40.7376794,40.7376794,"premise","281 W 12th St, New York, NY 10014, USA"
"1533","281 WEST BROADWAY 10013","PEPOLINO",40.7207548,40.7207548,"premise","281 W Broadway, New York, NY 10013, USA"
"1534","281 WEST FORDHAM ROAD 10468","DALLAS BBQ",40.8620612,40.8620612,"street_address","281 W Fordham Rd, Bronx, NY 10468, USA"
"1535","2810 AVENUE D 11226","STEP ON TOP TAKE OUT RESTAURANT",40.640702,40.640702,"street_address","2810 Avenue D, Brooklyn, NY 11226, USA"
"1536","2811 23RD AVE 11105","TELLY'S TAVERNA",40.7754484,40.7754484,"street_address","28-11 23rd Ave, Long Island City, NY 11105, USA"
"1537","2811 CROPSEY AVENUE 11214","CROPSEY PIZZA",40.5863262,40.5863262,"street_address","2811 Cropsey Ave, Brooklyn, NY 11214, USA"
"1538","2811 NOSTRAND AVE 11229","OLIVE TREE",40.6156907,40.6156907,"street_address","2811 Nostrand Ave, Brooklyn, NY 11229, USA"
"1539","2811 NOSTRAND AVENUE 11229","MAMILLA",40.6156907,40.6156907,"street_address","2811 Nostrand Ave, Brooklyn, NY 11229, USA"
"1540","2811 RICHMOND AVENUE 10314","GINO'S VILLA MONTE",40.5785138,40.5785138,"street_address","2811 Richmond Ave, Staten Island, NY 10314, USA"
"1541","2812 DITMARS BOULEVARD 11105","ASTORIA BAGEL SHOP",40.7768732,40.7768732,"street_address","28-12 Ditmars Blvd, Long Island City, NY 11105, USA"
"1542","2812 OCEAN AVE 11229","ANTHONY'S PLACE",40.5928818,40.5928818,"premise","2812 Ocean Ave, Brooklyn, NY 11229, USA"
"1543","2813 GLENWOOD RD 11210","RASHEL CROWN FRIED CHICKEN",40.634435,40.634435,"street_address","2813 Glenwood Rd, Brooklyn, NY 11210, USA"
"1544","2815 36 AVENUE 11106","ONE STOP PIZZA & RESTAURANT",40.7575872,40.7575872,"street_address","28-15 36th Ave, Long Island City, NY 11106, USA"
"1545","2816 ASTORIA BOULEVARD 11102","UNITED CYPRIANS OF AMERICA",40.770395,40.770395,"street_address","28-16 Astoria Blvd, Long Island City, NY 11102, USA"
"1546","2816 CHURCH AVE 11226","KREYOL FLAVOR",40.6505686,40.6505686,"premise","2816 Church Ave, Brooklyn, NY 11226, USA"
"1547","2817 ASTORIA BLVD 11102","BASIL BRICK OVEN",40.7708116,40.7708116,"street_address","28-17 Astoria Blvd, Long Island City, NY 11102, USA"
"1548","2817 CONEY ISLAND AVE 11235","TSOB-TSOBE CAFE LOUNGE BAR",40.5878395,40.5878395,"street_address","2817 Coney Island Ave, Brooklyn, NY 11235, USA"
"1549","2817 NOSTRAND AVENUE 11229","NOSH EXPRESS",40.6154879,40.6154879,"street_address","2817 Nostrand Ave, Brooklyn, NY 11229, USA"
"1550","2818 31 STREET 11102","DON COQUI",40.7680417,40.7680417,"street_address","2818 31st St, Astoria, NY 11102, USA"
"1551","2818 41 AVENUE 11101","GREEN TEA DELI",40.750933,40.750933,"street_address","28-18 41st Ave, Long Island City, NY 11101, USA"
"1552","2818 AVENUE K 11210","CLASSIC KOSHER CATERING",40.6238906,40.6238906,"premise","2818 Avenue K, Brooklyn, NY 11210, USA"
"1553","2818 CONEY ISLAND AVENUE 11235","NARGIS CAFE",40.5878335,40.5878335,"street_address","2818 Coney Island Ave, Brooklyn, NY 11235, USA"
"1554","28192821 WHITE PLAINS ROAD 10467","ESTRELLITA POBLANA II",40.8714368,40.8714368,"route","White Plains Rd, Bronx, NY 10467, USA"
"1555","282 ATLANTIC AVENUE 11201","TWO8TWO BAR & BURGER",40.6885584,40.6885584,"premise","282 Atlantic Ave, Brooklyn, NY 11201, USA"
"1556","282 BLEECKER STREET 10014","KUMO SUSHI",40.73175,40.73175,"premise","282 Bleecker St, New York, NY 10014, USA"
"1557","282 BOWERY 10012","CHERCHE MIDI",40.7239624,40.7239624,"street_address","282 Bowery, New York, NY 10012, USA"
"1558","282 BRIGHTON BEACH AVE 11235","GUESTHOUSE RETSAURANT",40.576708,40.576708,"premise","282 Brighton Beach Ave, Brooklyn, NY 11235, USA"
"1559","282 KINGS HWY 11223","PIO PIO BROOKLYN",40.6049816,40.6049816,"premise","282 Kings Hwy, Brooklyn, NY 11223, USA"
"1560","282 SMITH STREET 11231","THE JAKE WALK",40.6822422,40.6822422,"premise","282 Smith St, Brooklyn, NY 11231, USA"
"1561","2822 CONEY ISLAND AVENUE 11235","SOFIA PIZZA RESTAURANT",40.5877843,40.5877843,"street_address","2822 Coney Island Ave, Brooklyn, NY 11235, USA"
"1562","282284 1 AVENUE 10009","BRUNO RAVIOLI",40.7293534,40.7293534,"route","1st Avenue, New York, NY 10009, USA"
"1563","2823 AVENUE U 11229","N & D PIZZA",40.600541,40.600541,"street_address","2823 Avenue U, Brooklyn, NY 11229, USA"
"1564","2823 MIDDLETOWN ROAD 10461","FRANK'S PIZZERIA/DA FRANCO AND TONY RESTAURANT",40.8436275,40.8436275,"premise","2823 Middletown Rd, Bronx, NY 10461, USA"
"1565","2824 FULTON STREET 11207","GOLDEN PANDA CHINESE RESTAURANT",40.6780805,40.6780805,"premise","2824 Fulton St, Brooklyn, NY 11207, USA"
"1566","2825 8 AVENUE 10039","YONG SHENG RESTAURANT",40.8263445,40.8263445,"street_address","2825 Frederick Douglass Blvd, New York, NY 10039, USA"
"1567","2826 FORT HAMILTON PARKWAY 11218","HAMILTONS",40.6485991,40.6485991,"premise","2826 Fort Hamilton Pkwy, Brooklyn, NY 11218, USA"
"1568","2826 STEINWAY STREET 11103","HEAVEN SPORTS BAR",40.7648939,40.7648939,"street_address","2826 Steinway St, Long Island City, NY 11103, USA"
"1569","2827 31 STREET 11102","TASTE OF BENGAL",40.767716,40.767716,"premise","28-27 31st St, Astoria, NY 11102, USA"
"1570","2828 COLLEGE POINT BOULEVARD 11354","SPARKY'S DELI",40.7722492,40.7722492,"premise","28-28 College Point Blvd, Flushing, NY 11354, USA"
"1571","2828 FRANCIS LEWIS BOULEVARD 11358","CARVEL ICE CREAM",40.7707486,40.7707486,"premise","28-28 Francis Lewis Blvd, Flushing, NY 11358, USA"
"1572","2829 EDSON AVENUE 10469","PIZZA HUT",40.8686791,40.8686791,"street_address","2829 Edson Ave, Bronx, NY 10469, USA"
"1573","283 3RD AVE 10010","TIVOLI CAFE",40.7381887,40.7381887,"street_address","283 3rd Ave, New York, NY 10010, USA"
